,Review,Liked,Review Letter Counter,Not Liked,Country,Profit,Category,Gender,Payments_methods,Year
0,Wow... Loved this place.,1,24,0,Canada,5675,High,Male,cash,2020
1,Crust is not good.,0,18,1,China,1746,Low,Female,mobile payment,2021
2,Not tasty and the texture was just nasty.,0,41,1,USA,5129,High,Male,mobile payment,2020
3,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,87,0,South Africa,3763,Medium,Female,mobile payment,2020
4,The selection on the menu was great and so were the prices.,1,59,0,Canada,3623,Medium,Male,cash,2020
5,Now I am getting angry and I want my damn pho.,0,46,1,Canada,2649,Medium,Female,cash,2023
6,Honeslty it didn't taste THAT fresh.),0,37,1,USA,3815,Medium,Male,mobile payment,2024
7,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,111,1,India,3150,Medium,Male,mobile payment,2020
8,The fries were great too.,1,25,0,USA,7894,High,Female,cash,2022
9,A great touch.,1,14,0,Australia,8938,High,Female,cash,2024
10,Service was very prompt.,1,24,0,USA,9925,High,Female,cash,2024
11,Would not go back.,0,18,1,Germany,7798,High,Female,cash,2023
12,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,99,1,USA,2897,Medium,Male,mobile payment,2022
13,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,60,0,Australia,6489,High,Male,cash,2024
14,I was disgusted because I was pretty sure that was human hair.,0,62,1,France,6547,High,Female,cash,2020
15,I was shocked because no signs indicate cash only.,0,50,1,Australia,2133,Medium,Male,cash,2024
16,Highly recommended.,1,19,0,USA,2190,Medium,Male,credit card,2024
17,Waitress was a little slow in service.,0,38,1,Canada,5763,High,Female,mobile payment,2021
18,"This place is not worth your time, let alone Vegas.",0,51,1,USA,2717,Medium,Male,cash,2020
19,did not like at all.,0,20,1,USA,4086,Medium,Male,credit card,2020
20,The Burrittos Blah!,0,19,1,South Africa,7424,High,Male,credit card,2021
21,"The food, not amazing.",1,22,0,France,5343,High,Male,credit card,2022
22,Service is also cute.,1,21,0,India,3756,Medium,Female,cash,2022
23,I could care less... The interior is just beautiful.,1,52,0,Germany,2510,Medium,Female,credit card,2023
24,So they performed.,1,18,0,Brazil,5790,High,Female,mobile payment,2024
25,That's right....the red velvet cake.....ohhh this stuff is so good.,1,67,0,Australia,8961,High,Female,cash,2021
26,- They never brought a salad we asked for.,0,42,1,India,7479,High,Female,cash,2024
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,73,0,Canada,3671,Medium,Female,cash,2021
28,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,141,1,South Africa,7291,High,Female,credit card,2022
29,The worst was the salmon sashimi.,0,33,1,Australia,3330,Medium,Female,mobile payment,2020
30,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,83,0,Canada,9010,High,Male,cash,2022
31,This was like the final blow!,0,29,1,Germany,3196,Medium,Male,credit card,2023
32,I found this place by accident and I could not be happier.,1,58,0,France,2821,Medium,Female,cash,2024
33,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,115,1,Germany,6349,High,Female,cash,2020
34,"Overall, I like this place a lot.",1,33,0,France,3391,Medium,Male,cash,2020
35,The only redeeming quality of the restaurant was that it was very inexpensive.,1,78,0,Germany,3594,Medium,Female,credit card,2024
36,Ample portions and good prices.,1,31,0,Canada,3891,Medium,Female,mobile payment,2020
37,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,88,1,Germany,8103,High,Female,credit card,2022
38,My first visit to Hiro was a delight!,1,37,0,China,8848,High,Male,credit card,2021
39,Service sucks.,0,14,1,Germany,8175,High,Female,credit card,2022
40,The shrimp tender and moist.,1,28,0,Germany,4281,Medium,Male,mobile payment,2023
41,There is not a deal good enough that would drag me into that establishment again.,0,81,1,India,7320,High,Female,mobile payment,2024
42,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,147,1,India,5199,High,Female,cash,2023
43,"On a positive note, our server was very attentive and provided great service.",1,77,0,USA,5572,High,Male,mobile payment,2021
44,"Frozen pucks of disgust, with some of the worst people behind the register.",0,75,1,Japan,6192,High,Male,cash,2022
45,The only thing I did like was the prime rib and dessert section.,1,64,0,Japan,1977,Low,Male,mobile payment,2020
46,It's too bad the food is so damn generic.,0,41,1,South Africa,4398,Medium,Female,credit card,2021
47,"The burger is good beef, cooked just right.",1,43,0,Japan,1169,Low,Female,mobile payment,2023
48,If you want a sandwich just go to any Firehouse!!!!!,1,52,0,Australia,5097,High,Male,mobile payment,2024
49,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,102,0,Canada,9930,High,Female,mobile payment,2020
50,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,98,0,USA,2368,Medium,Male,credit card,2022
51,He came running after us when he realized my husband had left his sunglasses on the table.,1,90,0,South Africa,1910,Low,Male,cash,2024
52,Their chow mein is so good!,1,27,0,USA,2626,Medium,Male,credit card,2024
53,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,112,1,India,5270,High,Male,credit card,2020
54,The portion was huge!,1,21,0,India,5229,High,Female,mobile payment,2023
55,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,72,0,France,8443,High,Male,cash,2023
56,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,93,1,USA,6765,High,Male,mobile payment,2024
57,Not much seafood and like 5 strings of pasta at the bottom.,0,59,1,South Africa,5455,High,Female,mobile payment,2021
58,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,103,0,India,6369,High,Female,credit card,2023
59,"The ripped banana was not only ripped, but petrified and tasteless.",0,67,1,France,1897,Low,Female,mobile payment,2021
60,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,84,1,Germany,6409,High,Female,mobile payment,2022
61,This place receives stars for their APPETIZERS!!!,1,49,0,Japan,9046,High,Female,credit card,2021
62,The cocktails are all handmade and delicious.,1,45,0,Japan,9775,High,Male,mobile payment,2023
63,We'd definitely go back here again.,1,35,0,Germany,5520,High,Male,cash,2020
64,We are so glad we found this place.,1,35,0,South Africa,4211,Medium,Male,mobile payment,2023
65,"Great food and service, huge portions and they give a military discount.",1,72,0,Canada,5866,High,Female,mobile payment,2022
